language	done	key_droid	key_apple	base_value	lang_value	base_note	lang_note
Hebrew_he	yes	android_store_description.2		NutritionFacts.org is a non-commercial, non-profit, science-based public service provided by Dr. Greger, delivering free daily updates on the latest in nutrition research via bite-sized videos. He has more than two-thousand videos on every aspect of healthy eating, with new videos and articles uploaded every day. Like this app, everything on the website is both free of ads and free of charge.	NutritionFacts.org הוא שירות ציבורי שניתן על ידי ד״ר גרגר. השירות אינו מסחרי, ללא מטרות רווח ומבוסס מדע , והוא מספק עדכונים יומיים בחינם על החידושים האחרונים במחקר התזונה באמצעות סרטונים קצרים. יש בו כמעט אלפיים סרטונים על כל היבט של תזונה בריאה.סרטונים ומאמרים חדשים עולים מדי יום. כמו אפליקציה זו, הכל באתר אף הוא ללא פרסומות וללא תשלום.		
Italian_it	Yes		apple_store_description.2	In the years of research required to create the more than two-thousand evidence-based videos on his website NutritionFacts.org, Michael Greger, M.D, FACLM, has arrived at a list of what he considers the most important foods to include in a healthy daily diet.	Micheal Greger, medico membro dell'American College of Lifestyle Medicine, dopo anni di ricerca necessari per creare gli oltre duemila video basati su prove scientifiche, disponibili sul sito NutritionFacts.org, ha stilato una lista di quelli che considera gli alimenti più importanti da includere in una sana dieta giornaliera.		FACLM:         Fellow of the American College of Lifestyle Medicine  M.D. doctor of medicine  In my opinion, “membro della American College of Lifestyle Medicine” can be omitted if space saving is needed. If the information is reputed necessary  for highlighting the qualifications of dr Greger , it could be added at a different point in the app.
Italian_it	Yes		apple_store_description.4	All the proceeds from his books, DVDs, and speaking engagements are all donated to charity.	Tutto il ricavato ottenuto delle vendite dei suoi libri, DVD e interventi pubblici sono interamente devoluti in beneficenza.		
Italian_it	Yes		apple_store_description.5	NutritionFacts.org is a non-commercial, non-profit, science-based public service provided by Dr. Greger, delivering free daily updates on the latest in nutrition research via bite-sized videos. He has more than two-thousand videos on every aspect of healthy eating, with new videos and articles uploaded every day.	NutritionFacts.org è un servizio pubblico su base scientifica, non commerciale e senza scopo di lucro, offerto dal dottor Greger, che propone quotidiani aggiornamenti gratuiti sulle più recenti scoperte in materia di nutrizione con brevi video. Ne ha prodotto più di duemila, toccando tutti gli aspetti di un’alimentazione sana, ogni volta con nuovi contenuti video e articoli.		
Italian_it	Yes	store_screen.5	store_screen.5	Dr. Greger’s Daily Dozen - It’s your regular routine that determines your long-term health. Download today!	Daily Dozen del dottor Greger è una sana abitudine per mantenersi in salute nel tempo. Scaricala adesso!		
Italian_it	Yes	android_store_description.1		All proceeds from his books, DVDs, and speaking engagements are donated to charity.	Tutto il ricavato ottenuto delle vendite dei suoi libri, DVD e interventi pubblici sono interamente devoluti in beneficenza.		
Italian_it	Yes	android_store_description.2		NutritionFacts.org is a non-commercial, non-profit, science-based public service provided by Dr. Greger, delivering free daily updates on the latest in nutrition research via bite-sized videos. He has more than two-thousand videos on every aspect of healthy eating, with new videos and articles uploaded every day. Like this app, everything on the website is both free of ads and free of charge.	NutritionFacts.org è un servizio pubblico su base scientifica, non commerciale e senza scopo di lucro, offerto dal dottor Greger, che propone quotidiani aggiornamenti gratuiti sulle più recenti scoperte in materia di nutrizione con brevi video. Ne ha prodotto più di duemila, toccando tutti gli aspetti di un’alimentazione sana, ogni volta con nuovi contenuti video e articoli. Tutto quello che trovate nel sito, così come in questa app, è gratuito e privo di pubblicità.		
Macedonian_mk	no		apple_store_description.2	In the years of research required to create the more than two-thousand evidence-based videos on his website NutritionFacts.org, Michael Greger, M.D, FACLM, has arrived at a list of what he considers the most important foods to include in a healthy daily diet.	Со тек на многу години истражување кои беа потребни за создавање на повеќе од илјада видеа базирани на докази на неговиот веб-сајт NutritionFacts.org, Мајкл Грегер, доктор по медицина, FACLM, состави листа на она што го смета за најважна храна што треба да се вклучи во здравата секојдневна исхрана.		
Macedonian_mk	no		apple_store_description.3	Dr. Greger’s Daily Dozen details the healthiest foods and how many servings of each we should try to check off every day. He explains his rationale in his book “How Not to Die”.	Дневната дузина на д-р Грегер ги детализира најздравите намирници и колку порции од секоја треба да се обидеме да ги внесеме секој ден. Тој го објаснува својот пристап во својата книга „How Not To Die“.	Use language-applicable quotation marks for book titles.	Користете соодветни наводници за наслови на книги на македонски јазик.
Macedonian_mk	no		apple_store_description.4	All the proceeds from his books, DVDs, and speaking engagements are all donated to charity.	Сите негови приходи од книги, ДВД-а и говорнички ангажмани се донираат во добротворни цели.		
